featureCode	count	average
V1	10299	0.274347260646063
V121	10299	-0.0309824871713436
V122	10299	-0.0747194855994359
V123	10299	0.088357304227173
V124	10299	-0.721192598029789
V125	10299	-0.682653506899942
V126	10299	-0.653665674372188
V161	10299	-0.0967092754729683
V162	10299	-0.0423181079782632
V163	10299	-0.0548303497968374
V164	10299	-0.731348533131935
V165	10299	-0.786062320321895
V166	10299	-0.739932395222129
V2	10299	-0.0177434918458972
V201	10299	-0.54822165976717
V202	10299	-0.591225327146546
V214	10299	-0.54822165976717
V215	10299	-0.591225327146546
V227	10299	-0.649417950650692
V228	10299	-0.627762945785391
V240	10299	-0.60524856977632
V241	10299	-0.662533062898382
V253	10299	-0.762137610987416
V254	10299	-0.77799317279698
V266	10299	-0.622761658493734
V267	10299	-0.53749328145871
V268	10299	-0.665033506271952
V269	10299	-0.603356276555826
V270	10299	-0.528420009576204
V271	10299	-0.617874813333395
V3	10299	-0.108925032737064
V345	10299	-0.656713524546605
V346	10299	-0.628961179980356
V347	10299	-0.743608246170053
V348	10299	-0.654979816705833
V349	10299	-0.612243590244114
V350	10299	-0.780928428167213
V4	10299	-0.607783818968688
V41	10299	0.669226222373046
V42	10299	0.00403879092060517
V424	10299	-0.672094306818974
V425	10299	-0.70621663959074
V426	10299	-0.644192752866115
V427	10299	-0.738594816501343
V428	10299	-0.674226934551517
V429	10299	-0.690446312501126
V43	10299	0.0921508600211059
V44	10299	-0.965207115039421
V45	10299	-0.95440802665318
V46	10299	-0.938900969424022
V5	10299	-0.510191378479501
V503	10299	-0.585962696268539
V504	10299	-0.659531216655476
V516	10299	-0.620789916331592
V517	10299	-0.640076803144351
V529	10299	-0.697411069729937
V530	10299	-0.699976372277643
V542	10299	-0.779767633083527
V543	10299	-0.792190209274884
V6	10299	-0.61306429934125
V81	10299	0.0789381220355816
V82	10299	0.0079481069090025
V83	10299	-0.00467469823628666
V84	10299	-0.63978102073413
V85	10299	-0.607971599340832
V86	10299	-0.762820240449202
